
    |           BAT_NAME|     RA|    DEC|    SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|GAMM|GAMM|GAMM|  CHI_SQ_R|REDSHIF|  LUM|ASSOC_STREN|        CL2|                 TYPE
    |                   |    deg|    deg|       |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |    |    |    |          |       |log[e|           |           |                     
  47|SWIFT J0102.6-7242B| 15.739|-72.745|   8.96|XTE J0103-728                 |                               | 15.7212|-72.7425|   12.13|    9.90|   14.62| 0.00|3.16|2.79|3.62|      1.20| 0.0000| NULL|          0|         13|HMXB                 
  48|SWIFT J0103.8-6437 | 15.958|-64.615|   5.33|PKS 0101-649                  |                               | 15.8904|-64.6521|   11.27|    7.21|   15.84| 0.00|1.62|1.12|2.17|      0.80| 0.1630|44.92|          0|          8|FSRQ                 
  49|SWIFT J0105.5-4213 | 16.369|-42.167|   6.22|MCG -07-03-007                |                               | 16.3617|-42.2162|   11.97|    8.14|   16.25| 0.00|1.75|1.33|2.21|      0.70| 0.0302|43.40|          0|          5|Sy2                  
  50|SWIFT J0106.2-4704 | 16.429|-47.050|   5.13|ESO 243- G 026                |                               | 16.4082|-47.0717|    7.25|    4.31|   10.85| 0.00|2.41|1.80|3.31|      0.40| 0.0193|42.79|          0|          2|Galaxy               
  51|SWIFT J0105.7-1414 | 16.431|-14.237|   6.90|2MASX J01053882-1416133       |                               | 16.4117|-14.2704|   13.07|    9.32|   17.34| 0.00|2.21|1.79|2.72|      1.10| 0.0660|44.14|          0|          4|Sy1                  
  52|SWIFT J0105.6-3433 | 16.443|-34.571|   5.46|HE 0103-3447                  |                               | 16.4442|-34.5292|    8.56|    5.15|   12.55| 0.00|2.28|1.71|3.14|      1.20| 0.0570|43.82|          0|          4|Sy1                  
  53|SWIFT J0106.8+0639 | 16.689|  6.668|   7.77|2MASX J01064523+0638015       |UM 085                         | 16.6886|  6.6339|   15.45|   11.16|   20.26| 0.00|2.01|1.60|2.48|      1.80| 0.0410|43.78|          0|          5|Sy2                  
  54|SWIFT J0107.7-1137A| 16.943|-11.622|   6.84|1RXS J010737.5-113946         |                               | 16.9075|-11.6660|   13.51|    9.49|   18.02| NULL|1.94|1.54|2.41|      0.90|-1.0000| NULL|          0|          2|                     
  55|SWIFT J0107.7-1137B| 16.943|-11.622|   6.84|2MASX J01073963-1139117       |                               | 16.9152|-11.6532|   10.48|    0.00|    0.00| 0.26|1.70|0.00|0.00|      1.40| 0.0475|43.75|          0|          5|Sy2 double source    
  56|SWIFT J0107.7-1137C| 16.943|-11.622|   6.84|1RXS J010713.0-113554         |2MASX J01071376-1136027        | 16.8074|-11.6007|    4.09|    0.00|    0.00| 1.81|3.03|0.00|0.00|      1.20|-1.0000| NULL|          0|          2|                     
  57|SWIFT J0109.0+1320 | 17.185| 13.360|  13.13|3C 033                        |                               | 17.2203| 13.3372|   27.78|   23.47|   32.34| 0.00|1.94|1.73|2.16|      0.10| 0.0597|44.38|          4|          5|Sy2                  
  58|SWIFT J0111.4-3808 | 17.853|-38.127|  11.43|NGC 424                       |                               | 17.8650|-38.0830|   20.72|   17.12|   24.57| 0.00|2.03|1.80|2.28|      0.70| 0.0118|42.81|          4|          4|Sy1Sy2               
  59|SWIFT J0113.8+2515 | 18.448| 25.286|   5.02|87GB 011040.5+250307          |                               | 18.3446| 25.3148|    9.89|    5.56|   15.06| 0.00|1.79|1.13|2.57|      0.40|-1.0000| NULL|          0|          6|AGN/FSRS             
  60|SWIFT J0113.8+1313 | 18.457| 13.239|   7.33|Mrk 975                       |                               | 18.4626| 13.2717|   16.54|   12.24|   21.33| 0.00|1.88|1.52|2.28|      1.50| 0.0496|43.98|          0|          4|Sy1                  
  61|SWIFT J0113.8-1450 | 18.487|-14.835|  12.50|Mrk 1152                      |                               | 18.4587|-14.8456|   27.19|   23.04|   31.57| 0.00|1.95|1.74|2.17|      0.80| 0.0527|44.25|          4|          4|Sy1.5                
  62|SWIFT J0114.5-3236 | 18.563|-32.633|   6.85|IC 1657                       |                               | 18.5292|-32.6509|   14.32|    9.95|   19.18| 0.00|1.85|1.41|2.36|      0.90| 0.0120|42.66|          0|          5|Sy2                  
  63|SWIFT J0114.4-5522 | 18.575|-55.401|   8.65|NGC 454E                      |2MASX J01142491-5523497        | 18.6038|-55.3971|   17.46|   13.60|   21.64| 0.00|1.80|1.50|2.12|      0.40| 0.0121|42.76|          0|          5|Sy2                  
  64|SWIFT J0116.3+3104 | 19.040| 31.067|   6.20|NGC 452                       |                               | 19.0618| 31.0338|   11.97|    8.31|   16.11| 0.00|2.04|1.64|2.49|      1.30| 0.0166|42.87|          0|          2|Galaxy Pair          
  65|SWIFT J0116.5-1235 | 19.136|-12.616|   5.35|2MASX J01163118-1236171       |                               | 19.1298|-12.6047|    9.75|    6.32|   13.72| 0.00|2.24|1.75|2.89|      1.40|-1.0000| NULL|          0|          2|Galaxy               
  66|SWIFT J0117.8-7327 | 19.296|-73.443| 318.17|SMC X-1                       |4U 0115-73                     | 19.2714|-73.4433|  414.67|  412.42|  416.93| 0.00|3.30|3.29|3.31|    685.60| 0.0000| NULL|          0|         13|HMXB/NS              
  67|SWIFT J0117.8+6516 | 19.480| 65.306| 101.36|2S 0114+650                   |V662 Cas                       | 19.5112| 65.2916|  157.95|  154.96|  160.97| 0.00|2.59|2.56|2.62|     17.20| 0.0000| NULL|          1|         13|HMXB/NS              
  68|SWIFT J0118.5+6344 | 19.615| 63.736|  41.10|4U 0115+634                   |V635 Cas                       | 19.6330| 63.7400|   54.38|   52.12|   56.69| 0.00|3.29|3.19|3.39|      5.60| 0.0000| NULL|          0|         13|HMXB                 
  69|SWIFT J0122.0-2818 | 20.507|-28.292|   5.97|[HB89] 0119-286               |                               | 20.4646|-28.3492|   15.07|   10.02|   20.87| 0.00|1.39|0.81|1.94|      1.20| 0.1160|44.72|          0|          8|Sy1, QSO             
  70|SWIFT J0122.8+5003 | 20.612| 50.089|   7.60|MCG +08-03-018                |                               | 20.6435| 50.0550|   12.63|    9.52|   16.13| 0.00|2.39|2.03|2.82|      0.80| 0.0204|43.08|          0|          5|Sy2                  
